subject,run,hemi,mode_k,beta,p
sub-EN057,16,L,101,-0.4417677735685534,0.386582291139976
sub-EN057,16,L,102,-0.1108983523943467,0.4865011935231966
sub-EN057,16,L,103,0.0090296043826101,0.8701406129841932
sub-EN057,16,L,104,-0.0251585855573841,0.381386039190371
sub-EN057,16,L,105,-0.4210105746069799,0.3803877073701414
sub-EN057,16,L,106,-0.0536550554913291,0.5355482266313831
sub-EN057,16,L,107,-0.0481233603311141,0.4278583624574436
sub-EN057,16,L,108,-0.0671975138251401,0.4115110185502303
sub-EN057,16,L,109,0.0018195942314334,0.9463358409654308
sub-EN057,16,L,110,0.0204982969739278,0.4749760689650205
sub-EN057,16,L,111,-0.4158077177675258,0.3819983066496029
sub-EN057,16,L,112,-0.557503723226135,0.3948813446702713
sub-EN057,16,L,113,-0.0052150048891115,0.7921699766508182
sub-EN057,16,L,114,0.0096560315784594,0.6001843716824697
sub-EN057,16,L,115,-0.0072582979601677,0.8128850759664881
sub-EN057,16,L,116,-0.0426642871674789,0.2069972947317361
sub-EN057,16,L,117,-0.02768637272542,0.6161817519823152
sub-EN057,16,L,118,-0.0225223726342321,0.0920450765103878
sub-EN057,16,L,119,-0.1640363635466981,0.3834096282714523
sub-EN057,16,R,0,-919.7455791827504,0.3871897326125851
sub-EN057,16,R,1,-0.134797297193341,0.6745793873007055
sub-EN057,16,R,2,-7.797894507572471,0.363622878260307
sub-EN057,16,R,3,-74.79444574436529,0.3779995638910922
sub-EN057,16,R,4,-2.0638093548841603,0.3784005692132742
sub-EN057,16,R,5,-0.0168835188529866,0.9577947408766588
sub-EN057,16,R,6,-8.795264756470678,0.3790380348197736
sub-EN057,16,R,7,-0.530512822008149,0.56353481284514
sub-EN057,16,R,8,-10.89753963807292,0.3947144418516179
sub-EN057,16,R,9,0.1912887582925832,0.4206856035225635
sub-EN057,16,R,10,-1.4081977407657007,0.4008167250414846
sub-EN057,16,R,11,-7.60075649003477,0.3839935377946847
sub-EN057,16,R,12,-2.4745698451623213,0.3703641651521006
sub-EN057,16,R,13,-1.6875073646043897,0.3292327859064656
sub-EN057,16,R,14,-5.072871553353123,0.3863127635515887
sub-EN057,16,R,15,-2.133090833186838,0.3879479400260142
sub-EN057,16,R,16,-1.3034813187507388,0.418220913638478
sub-EN057,16,R,17,-5.01929349484861,0.392955573865784
sub-EN057,16,R,18,-0.0708482451408264,0.5444214785098446
sub-EN057,16,R,19,-0.7933281675985676,0.3014213769039972
sub-EN057,16,R,20,-0.9533749403706234,0.3621574128486342
sub-EN057,16,R,21,-0.7771065760145804,0.3924403289326307
sub-EN057,16,R,22,-1.5673298686302854,0.3931092187603128
sub-EN057,16,R,23,-0.3660481757861558,0.4827587201520624
sub-EN057,16,R,24,-0.150926933948243,0.3628517848705368
sub-EN057,16,R,25,0.0388746766296491,0.7126638082860174
sub-EN057,16,R,26,0.1185649564131867,0.0504828266300299
sub-EN057,16,R,27,-0.706330534187965,0.3546099479686561
sub-EN057,16,R,28,-0.3328200187842395,0.2735956602841533
sub-EN057,16,R,29,-0.0666339633600128,0.2514378397850665
sub-EN057,16,R,30,-0.0438354138303621,0.5328118802820234
sub-EN057,16,R,31,-0.0080064132775022,0.900371590444421
sub-EN057,16,R,32,-0.7510194997084668,0.3846008834311984
sub-EN057,16,R,33,-0.007479502774079,0.694179465882282
sub-EN057,16,R,34,-0.4746464333422168,0.1483267813730122
sub-EN057,16,R,35,-0.0839351832538496,0.6164728196413405
sub-EN057,16,R,36,-0.1794415981606279,0.5066616406602084
sub-EN057,16,R,37,-3.166545317966947,0.393347806879135
sub-EN057,16,R,38,-1.0240432746857178,0.4065494316970386
sub-EN057,16,R,39,-1.656580672861515,0.385869045648653
sub-EN057,16,R,40,-0.0557250417137005,0.1134317655499226
sub-EN057,16,R,41,-1.86703742358352,0.3892397369432632
sub-EN057,16,R,42,-0.2165473767118876,0.4157253898815922
sub-EN057,16,R,43,-0.2237670219732111,0.2838983179958524
sub-EN057,16,R,44,-0.0489166193722873,0.2142137288908763
sub-EN057,16,R,45,-0.7466714166770243,0.3795480292765421
sub-EN057,16,R,46,0.0472750194417792,0.19699504936237
sub-EN057,16,R,47,-0.8573186531495555,0.4336035159942605
sub-EN057,16,R,48,-0.8079412761605619,0.3970698806643307
sub-EN057,16,R,49,-1.303806667385367,0.4051178010493005
sub-EN057,16,R,50,-0.1842016114204443,0.4323689256613635
sub-EN057,16,R,51,-0.1210828649662612,0.4034383242722114
sub-EN057,16,R,52,-0.0498608252274765,0.2636175303871521
sub-EN057,16,R,53,-0.2230842201054335,0.1091952588351064
sub-EN057,16,R,54,-0.2804422974369792,0.2941411277692559
sub-EN057,16,R,55,-0.0013517603791683,0.9803311803474892
sub-EN057,16,R,56,-0.0146050547893916,0.679898441801007
sub-EN057,16,R,57,-0.0363831614924765,0.0795274499529521
sub-EN057,16,R,58,-0.1681431059118918,0.3785949079491776
